116	1029-813	0	68	-1	22538at4891|7420|-|68|1.339e-15|1|217|1029|1029[1029]:217[217]:813[813]
139	1274+852	0	57	1	22538at4891|8892|+|103|3.896e-26|1|1274|2125|1274[1274]:2125[2125]:852[852]
141	2515+1818	0	154	1	5557at4891|9020|+|149|5.536e-40|1|2515|4332|2515[2515]:4332[4332]:1818[1818]
143	5335+897	0	88	1	22538at4891|9148|+|80|3.268e-19|1|5335|6231|5335[5335]:6231[6231]:897[897]
148	18731+843	0	108	1	22538at4891|9468|+|75|1.046e-17|1|18731|19573|18731[18731]:19573[19573]:843[843]
444	5809-828	0	220	-1	28236at4891|8832|-|141|1.417e-37|1|4982|5809|5809[5809]:4982[4982]:828[828]
450	11812+855	0	68	1	22538at4891|9216|+|68|1.339e-15|1|11812|12666|11812[11812]:12666[12666]:855[855]
587	297+1032	0	187	1	14309at4891|8194|+|145|8.858e-39|1|297|1328|297[297]:1328[1328]:1032[1032]
588	2588+564	0	28	1	34052at4891|8258|+|177|2.062e-48|1|2588|3151|2588[2588]:3151[3151]:564[564]
592	15+1194	0	205	1	8084at4891|8514|+|465|4.147e-135|1|15|1208|15[15]:1208[1208]:1194[1194]
603	4575+2262	0	94	1	5557at4891|9218|+|313|2.367e-89|1|4575|6836|4575[4575]:6836[6836]:2262[2262]
605	13071+2175	0	247	1	1653at4891|9346|+|243|2.795e-68|1|13071|15245|13071[13071]:15245[15245]:2175[2175]
609	4220-2055	0	287	-1	1653at4891|9602|-|1143|0|1|2166|4220|4220[4220]:2166[2166]:2055[2055]
735	1333-1332	0	84	-1	5557at4891|7940|-|530|1.124e-154|1|2|1333|1333[1333]:2[2]:1332[1332]
754	642+1053	0	156	1	12422at4891|9156|+|103|3.896e-26|1|642|1694|642[642]:1694[1694]:1053[1053]
762	14330+1473	0	144	1	5557at4891|9668|+|263|2.666e-74|1|14330|15802|14330[14330]:15802[15802]:1473[1473]
891	1758+452	0	258	1	23973at4891|8198|+|183|3.222e-50|2|1758|2209|1758[1758]:2045[2045]:288[288]|2048[2048]:2209[2209]:162[162]
908	2333+2142	0	134	1	5557at4891|9286|+|331|9.031e-95|1|2333|4474|2333[2333]:4474[4474]:2142[2142]
910	1106-858	0	128	-1	22538at4891|9414|-|96|4.987e-24|1|249|1106|1106[1106]:249[249]:858[858]
911	10808-1416	0	94	-1	5557at4891|9478|-|398|6.12e-115|1|9393|10808|10808[10808]:9393[9393]:1416[1416]
912	8195-945	0	46	-1	22538at4891|9542|-|87|2.553e-21|1|7251|8195|8195[8195]:7251[7251]:945[945]
1065	4485+1530	0	144	1	5557at4891|9608|+|289|3.972e-82|1|4485|6014|4485[4485]:6014[6014]:1530[1530]
1196	2740-1464	0	94	-1	5557at4891|8266|-|387|1.253e-111|1|1277|2740|2740[2740]:1277[1277]:1464[1464]
1200	3828-1401	0	94	-1	5557at4891|8522|-|400|1.53e-115|1|2428|3828|3828[3828]:2428[2428]:1401[1401]
1212	15248-1221	0	63	-1	5557at4891|9290|-|321|9.248e-92|1|14028|15248|15248[15248]:14028[14028]:1221[1221]
1212	3884-897	0	98	-1	22538at4891|9290|-|48|1.404e-09|1|2988|3884|3884[3884]:2988[2988]:897[897]
1346	2806+978	0	127	1	14309at4891|8140|+|108|1.217e-27|1|2806|3783|2806[2806]:3783[3783]:978[978]
1360	2730+1146	0	156	1	12422at4891|9036|+|189|5.035e-52|1|2730|3875|2730[2730]:3875[3875]:1146[1146]
1495	74+981	0	35	1	22538at4891|7950|+|87|2.553e-21|1|74|1054|74[74]:1054[1054]:981[981]
1508	64+1110	0	8	1	5534at4891|8782|+|525|3.597e-153|1|64|1173|64[64]:1173[1173]:1110[1110]
1512	3892+960	0	46	1	22538at4891|9038|+|102|7.791e-26|1|3892|4851|3892[3892]:4851[4851]:960[960]
1516	14610+507	0	231	1	30604at4891|9294|+|58|1.371e-12|1|14610|15116|14610[14610]:15116[15116]:507[507]
