#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9726:22064-25924     -           1287 1679at4891           -            784         0 1339.7  21.1   1   4   2.1e-13     7e-11   38.1   0.1    13    92    89   205    79   217 0.76 -
9726:22064-25924     -           1287 1679at4891           -            784         0 1339.7  21.1   2   4  4.3e-169  1.4e-166  553.0   1.4    91   346   290   546   267   552 0.95 -
9726:22064-25924     -           1287 1679at4891           -            784         0 1339.7  21.1   3   4  1.3e-137  4.3e-135  448.9   1.0   336   580   601   852   595   923 0.92 -
9726:22064-25924     -           1287 1679at4891           -            784         0 1339.7  21.1   4   4   4.2e-94   1.4e-91  305.0   1.0   589   784  1071  1287  1041  1287 0.90 -
9104:201-3419        -           1073 1679at4891           -            784  4.5e-211  700.2   8.6   1   2    1e-170  3.4e-168  558.4   0.8   121   579   141   630    36   643 0.88 -
9104:201-3419        -           1073 1679at4891           -            784  4.5e-211  700.2   8.6   2   2   1.9e-44   6.4e-42  140.8   1.5   589   784   861  1073   814  1073 0.81 -
9514:10675-12261     -            529 1679at4891           -            784   3.9e-31  105.1   0.0   1   1   3.5e-32   1.2e-29  100.2   0.0   138   532     8   414     2   427 0.75 -
9198:4115-5575       -            487 1679at4891           -            784   4.6e-30  101.6   0.4   1   1   1.1e-30   3.6e-28   95.3   0.4   173   524    57   408    10   427 0.76 -
9640:15160-16239     -            360 1679at4891           -            784     1e-29  100.4   0.1   1   2   7.2e-21   2.4e-18   62.8   0.1   130   375     4   270     1   275 0.69 -
9640:15160-16239     -            360 1679at4891           -            784     1e-29  100.4   0.1   2   2   1.9e-13   6.3e-11   38.3   0.0   393   498   251   360   228   360 0.82 -
9022:4985-7147       -            721 1679at4891           -            784   7.5e-08   28.1   0.1   1   2     0.042        14    0.7   0.0   238   262   305   329   244   339 0.89 -
9022:4985-7147       -            721 1679at4891           -            784   7.5e-08   28.1   0.1   2   2   2.3e-09   7.8e-07   24.7   0.0   418   507   405   498   387   521 0.79 -
9650:11956-15135     -           1060 1679at4891           -            784   4.8e-06   22.1   0.1   1   2   2.3e-06   0.00078   14.8   0.0   131   196   292   359   244   385 0.83 -
9650:11956-15135     -           1060 1679at4891           -            784   4.8e-06   22.1   0.1   2   2    0.0021       0.7    5.1   0.0   483   508   616   641   531   675 0.85 -
9288:11014-13998     -            995 1679at4891           -            784    0.0022   13.3   0.0   1   1   1.2e-05     0.004   12.5   0.0   134   282   164   326   143   332 0.67 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/1679at4891.hmm
# Target file:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/hmmer_output/initial_run_results/1679at4891.out --cpu 1 /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/1679at4891.hmm /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas 
# Current dir:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04
# Date:            Tue Nov  5 18:37:39 2024
# [ok]
