#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9592:9563-13252      -           1230 1312at4891           -            870         0 1070.8 121.2   1   5  1.3e-118  4.5e-116  386.2  31.1     1   306     1   328     1   336 0.85 -
9592:9563-13252      -           1230 1312at4891           -            870         0 1070.8 121.2   2   5   4.4e-10   1.5e-07   27.2  17.7   225   357   311   440   304   450 0.60 -
9592:9563-13252      -           1230 1312at4891           -            870         0 1070.8 121.2   3   5   1.2e-78     4e-76  254.0  25.4   342   672   464   817   432   858 0.82 -
9592:9563-13252      -           1230 1312at4891           -            870         0 1070.8 121.2   4   5   4.2e-57   1.4e-54  182.7  22.7   561   767   872  1093   850  1098 0.88 -
9592:9563-13252      -           1230 1312at4891           -            870         0 1070.8 121.2   5   5   9.7e-74   3.3e-71  237.8   2.6   751   869  1103  1223  1093  1224 0.97 -
8946:557-4060        -           1168 1312at4891           -            870   3.4e-87  290.6  84.4   1   4   3.7e-37   1.2e-34  116.7  33.9     1   426     1   441     1   443 0.78 -
8946:557-4060        -           1168 1312at4891           -            870   3.4e-87  290.6  84.4   2   4     0.087        29   -0.3   4.5   564   628   401   465   396   489 0.85 -
8946:557-4060        -           1168 1312at4891           -            870   3.4e-87  290.6  84.4   3   4   1.2e-23   3.9e-21   72.1  17.5   407   708   521   852   517   859 0.71 -
8946:557-4060        -           1168 1312at4891           -            870   3.4e-87  290.6  84.4   4   4   8.2e-36   2.8e-33  112.3  14.6   562   855   866  1167   844  1168 0.82 -
9240:10678-14409     -           1244 1312at4891           -            870     6e-48  160.8 102.0   1   4   6.1e-16     2e-13   46.5  26.4     2   300     2   343     1   350 0.76 -
9240:10678-14409     -           1244 1312at4891           -            870     6e-48  160.8 102.0   2   4   1.4e-14   4.7e-12   42.0  53.6   156   702   273   876   271   890 0.64 -
9240:10678-14409     -           1244 1312at4891           -            870     6e-48  160.8 102.0   3   4     0.026       8.8    1.4  14.1   537   628   875   967   868   973 0.78 -
9240:10678-14409     -           1244 1312at4891           -            870     6e-48  160.8 102.0   4   4   1.5e-27     5e-25   85.0   1.9   586   846   979  1244   967  1244 0.72 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   1   6   2.3e-16   7.7e-14   47.9  30.2     8   316     3   348     1   371 0.74 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   2   6       2.7   9.2e+02   -5.2  17.3   185   330   369   517   347   519 0.76 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   3   6   2.1e-14   7.2e-12   41.4  17.1   383   669   499   817   491   839 0.71 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   4   6      0.11        38   -0.7  26.1   180   351   749   918   739   949 0.60 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   5   6     0.045        15    0.7  15.1   540   700   842  1004   830  1010 0.77 -
9406:14459-18094     -           1212 1312at4891           -            870   1.4e-44  149.7 100.7   6   6   9.4e-27   3.2e-24   82.3   1.9   653   850   992  1202   984  1211 0.84 -
9302:11536-14805     -           1090 1312at4891           -            870   1.2e-10   37.4  68.7   1   3   1.5e-06   0.00049   15.5  29.4     3   392    40   438    39   455 0.73 -
9302:11536-14805     -           1090 1312at4891           -            870   1.2e-10   37.4  68.7   2   3     0.017       5.8    2.0  15.4   528   640   667   782   662   786 0.72 -
9302:11536-14805     -           1090 1312at4891           -            870   1.2e-10   37.4  68.7   3   3     4e-11   1.4e-08   30.6  10.5   564   818   771  1028   760  1046 0.79 -
8844:5039-6358       -            440 1312at4891           -            870   3.3e-07   26.0   1.6   1   3   3.9e-05     0.013   10.8   0.1   769   825   115   167   107   194 0.82 -
8844:5039-6358       -            440 1312at4891           -            870   3.3e-07   26.0   1.6   2   3      0.54   1.8e+02   -2.9   0.0    27    41   278   292   272   294 0.79 -
8844:5039-6358       -            440 1312at4891           -            870   3.3e-07   26.0   1.6   3   3     5e-06    0.0017   13.7   0.1   769   822   361   410   356   423 0.91 -
8662:4920-6668       -            583 1312at4891           -            870     0.026    9.8   0.0   1   1   0.00014     0.046    9.0   0.0   772   821   489   534   485   545 0.87 -
9726:52457-55771     -           1105 1312at4891           -            870       0.1    7.8  75.8   1   3   0.00038      0.13    7.5  34.2     2   459    73   576    72   584 0.59 -
9726:52457-55771     -           1105 1312at4891           -            870       0.1    7.8  75.8   2   3      0.11        37   -0.6  18.5   573   720   690   837   658   845 0.78 -
9726:52457-55771     -           1105 1312at4891           -            870       0.1    7.8  75.8   3   3   8.4e-05     0.028    9.7  22.6   540   816   767  1053   759  1063 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/1312at4891.hmm
# Target file:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/hmmer_output/initial_run_results/1312at4891.out --cpu 1 /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/1312at4891.hmm /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas 
# Current dir:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04
# Date:            Tue Nov  5 18:37:21 2024
# [ok]
