#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   1   8     0.012        15   -0.3   0.0    13    27    74    88    64    93 0.85 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   2   8         0         0 2008.0  19.5    23  1056   109  1240   105  1252 0.93 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   3   8   2.2e-10     3e-07   25.2   1.3  1029  1098  1263  1366  1237  1379 0.71 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   4   8   5.8e-08   7.8e-05   17.2   0.1  1109  1193  1423  1544  1395  1581 0.66 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   5   8   4.3e-16   5.7e-13   44.2   2.2  1194  1266  1608  1692  1590  1699 0.82 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   6   8   5.7e-10   7.6e-07   23.9   0.4  1264  1300  1718  1754  1703  1765 0.91 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   7   8   4.8e-59   6.4e-56  186.5   5.0  1297  1464  1778  1971  1761  1983 0.91 -
9682:29247-35876     -           2210 170at4891            -           1602         0 2381.7  73.6   8   8   3.4e-31   4.6e-28   94.2   5.3  1438  1601  1984  2204  1972  2205 0.76 -
9168:6746-10036      -           1097 170at4891            -           1602   3.3e-06   21.8   1.4   1   3   5.1e-09   6.8e-06   20.7   0.1   151   268   317   427   307   444 0.81 -
9168:6746-10036      -           1097 170at4891            -           1602   3.3e-06   21.8   1.4   2   3     0.039        52   -2.1   0.0   630   666   676   711   671   748 0.71 -
9168:6746-10036      -           1097 170at4891            -           1602   3.3e-06   21.8   1.4   3   3     0.049        65   -2.4   0.1  1356  1431   745   819   721   835 0.77 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/170at4891.hmm
# Target file:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/hmmer_output/initial_run_results/170at4891.out --cpu 1 /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/170at4891.hmm /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas 
# Current dir:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04
# Date:            Tue Nov  5 18:37:41 2024
# [ok]
