#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   1   6       0.8     1e+02   -1.9   0.2     2    35     2    36     1    50 0.66 -
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   2   6   1.1e-07   1.4e-05   20.8  12.9    15   111    46   162    23   172 0.66 -
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   3   6     3e-77   3.8e-75  250.8   0.6    83   222   217   369   151   385 0.82 -
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   4   6  1.4e-230  1.7e-228  757.8   3.4   219   607   405   816   400   826 0.95 -
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   5   6   1.3e-19   1.7e-17   60.2   0.7   594   689   825   947   820   979 0.78 -
9668:13505-16684     -           1060 3316at4891           -            746         0 1104.5  41.2   6   6   6.4e-09   8.2e-07   24.9   0.5   677   746   989  1059   962  1059 0.71 -
8266:1277-2740       -            488 3316at4891           -            746  1.6e-109  364.4   2.6   1   1  1.8e-111  2.2e-109  364.0   2.6   130   576    11   483     6   487 0.87 -
9608:672-6272        -           1867 3316at4891           -            746  7.9e-109  362.2   1.8   1   2   1.7e-68   2.2e-66  221.8   0.0   110   426  1252  1582  1237  1601 0.85 -
9608:672-6272        -           1867 3316at4891           -            746  7.9e-109  362.2   1.8   2   2   1.8e-43   2.2e-41  139.1   0.4   447   606  1645  1814  1639  1834 0.85 -
8522:2428-3828       -            467 3316at4891           -            746    8e-107  355.5   4.5   1   1  1.2e-108  1.5e-106  354.6   4.5   129   569     8   459     6   466 0.87 -
9524:2031-3488       -            486 3316at4891           -            746  8.9e-107  355.4   5.4   1   1  9.6e-109  1.2e-106  354.9   5.4   129   575    10   481     6   485 0.86 -
9286:260-4795        -           1512 3316at4891           -            746  2.6e-106  353.8   4.4   1   2   2.9e-64   3.7e-62  207.9   1.1   111   429   675  1002   641  1052 0.83 -
9286:260-4795        -           1512 3316at4891           -            746  2.6e-106  353.8   4.4   2   2   9.9e-46   1.3e-43  146.6   0.1   430   592  1242  1411  1231  1487 0.90 -
9478:9393-10808      -            472 3316at4891           -            746    4e-104  346.6   3.9   1   1  8.8e-106  1.1e-103  345.1   3.9   128   575     6   464     1   469 0.86 -
8468:228-2921        -            898 3316at4891           -            746   4.2e-99  330.0   0.5   1   2   4.2e-55   5.3e-53  177.6   0.0   148   425   328   622   317   628 0.87 -
8468:228-2921        -            898 3316at4891           -            746   4.2e-99  330.0   0.5   2   2   6.6e-47   8.4e-45  150.5   0.2   428   611   651   843   644   872 0.88 -
9218:4287-6836       -            850 3316at4891           -            746   5.4e-97  323.0  12.0   1   2   6.9e-58   8.8e-56  186.8   3.8    90   426    66   421    16   427 0.79 -
9218:4287-6836       -            850 3316at4891           -            746   5.4e-97  323.0  12.0   2   2   1.8e-43   2.3e-41  139.1   1.2   429   569   698   844   692   850 0.91 -
8598:1664-6067       -           1468 3316at4891           -            746   3.8e-91  303.7   6.9   1   2       3.4   4.3e+02   -4.0   0.0   602   640   227   266   218   279 0.69 -
8598:1664-6067       -           1468 3316at4891           -            746   3.8e-91  303.7   6.9   2   2   5.3e-91   6.7e-89  296.3   4.2   128   586   374   858   333   907 0.79 -
9388:8422-11754      -           1111 3316at4891           -            746   1.4e-90  301.8   3.1   1   2     9e-51   1.1e-48  163.2   0.0   129   390   559   817   510   834 0.86 -
9388:8422-11754      -           1111 3316at4891           -            746   1.4e-90  301.8   3.1   2   2   3.5e-43   4.4e-41  138.2   1.1   411   582   910  1094   879  1107 0.82 -
8868:6377-9133       -            919 3316at4891           -            746   6.8e-87  289.6   1.1   1   1   2.6e-88   3.3e-86  287.4   1.1   143   632   300   842   289   881 0.80 -
8998:8116-10485      -            790 3316at4891           -            746   1.1e-52  176.5   2.5   1   3   1.3e-28   1.7e-26   89.9   0.0   122   309   176   368    83   373 0.86 -
8998:8116-10485      -            790 3316at4891           -            746   1.1e-52  176.5   2.5   2   3    0.0033      0.42    6.0   0.1   367   427   463   523   429   538 0.77 -
8998:8116-10485      -            790 3316at4891           -            746   1.1e-52  176.5   2.5   3   3   2.8e-25   3.5e-23   79.0   0.2   426   568   613   763   595   789 0.81 -
7940:2-1333          -            444 3316at4891           -            746   2.9e-50  168.5   0.6   1   1   2.9e-52   3.7e-50  168.2   0.6    15   367    69   442    56   444 0.71 -
9394:14111-16210     -            700 3316at4891           -            746   5.8e-50  167.5   3.4   1   3   1.4e-14   1.8e-12   43.5   0.0   123   200    22   100     9   125 0.87 -
9394:14111-16210     -            700 3316at4891           -            746   5.8e-50  167.5   3.4   2   3   1.5e-14   1.9e-12   43.5   0.1   257   432   188   375   177   409 0.73 -
9394:14111-16210     -            700 3316at4891           -            746   5.8e-50  167.5   3.4   3   3   1.7e-25   2.2e-23   79.6   0.3   434   571   535   677   509   689 0.84 -
9290:14028-15248     -            407 3316at4891           -            746   1.2e-42  143.3   4.7   1   2   1.6e-06    0.0002   16.9   0.1   354   393     2    42     1    65 0.80 -
9290:14028-15248     -            407 3316at4891           -            746   1.2e-42  143.3   4.7   2   2     4e-40   5.1e-38  128.0   1.2   422   582   146   314    87   397 0.80 -
9020:946-4440        -           1165 3316at4891           -            746   1.8e-39  132.8  13.8   1   4       3.6   4.6e+02   -4.1   0.1    93   142   399   445   390   451 0.66 -
9020:946-4440        -           1165 3316at4891           -            746   1.8e-39  132.8  13.8   2   4   2.4e-05     0.003   13.1   0.0   148   181   521   555   514   566 0.79 -
9020:946-4440        -           1165 3316at4891           -            746   1.8e-39  132.8  13.8   3   4   7.2e-14   9.2e-12   41.2   2.8   180   434   582   854   576   871 0.72 -
9020:946-4440        -           1165 3316at4891           -            746   1.8e-39  132.8  13.8   4   4   8.5e-27   1.1e-24   84.0   0.3   425   592   983  1164   934  1165 0.83 -
9556:3333-7874       -           1514 3316at4891           -            746   4.8e-21   71.9   2.9   1   2   3.3e-09   4.2e-07   25.8   0.3   149   297   347   530   329   543 0.63 -
9556:3333-7874       -           1514 3316at4891           -            746   4.8e-21   71.9   2.9   2   2     6e-15   7.7e-13   44.8   0.2   449   571  1342  1465  1286  1501 0.80 -
9684:21606-22841     -            412 3316at4891           -            746   0.00058   15.4   0.0   1   1   6.9e-06   0.00088   14.8   0.0   439   520   256   342   239   363 0.83 -
8198:2644-4164       -            507 3316at4891           -            746     0.002   13.6   0.0   1   2       2.7   3.5e+02   -3.7   0.0   288   315   216   245   212   247 0.77 -
8198:2644-4164       -            507 3316at4891           -            746     0.002   13.6   0.0   2   2   3.3e-05    0.0043   12.6   0.0   446   520   355   433   340   453 0.84 -
9196:12113-13627     -            505 3316at4891           -            746     0.013   10.9   0.0   1   2   0.00027     0.035    9.6   0.0   445   527   286   372   275   390 0.79 -
9196:12113-13627     -            505 3316at4891           -            746     0.013   10.9   0.0   2   2       1.4   1.8e+02   -2.7   0.0    12    59   419   466   410   470 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/busco_downloads/lineages/saccharomycetes_odb10/hmms/3316at4891.hmm
# Target file:     /home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_04/./busco/SRR6130428/SRR6130428_k63_contigs/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR6130428_k63_graph.contig.fa.modified.fas
