#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   1   6         0         0 1449.4  14.0    18   739   210   976   198   979 0.96 -
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   2   6   9.6e-08   1.4e-05   20.7   0.2   730   784  1003  1073   991  1081 0.64 -
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   3   6   1.3e-07   1.8e-05   20.3   0.6   730   818  1071  1154  1061  1162 0.69 -
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   4   6   3.7e-17   5.3e-15   51.8   0.2   808   851  1168  1214  1160  1228 0.88 -
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   5   6   6.7e-06   0.00094   14.6   0.0   850   872  1244  1266  1240  1279 0.89 -
8598:1664-6067       -           1468 515at4891            -            927         0 1583.5  32.8   6   6   1.5e-12   2.2e-10   36.5   0.2   868   927  1387  1462  1377  1462 0.80 -
8522:2428-3828       -            467 515at4891            -            927    1e-169  563.8   3.2   1   1  8.1e-172  1.1e-169  563.6   3.2   154   614     1   465     1   467 0.94 -
9478:9393-10808      -            472 515at4891            -            927  1.2e-161  537.1   1.7   1   1    1e-163  1.4e-161  536.8   1.7   156   613     3   463     1   470 0.94 -
8266:1277-2740       -            488 515at4891            -            927  8.8e-150  497.8   1.9   1   1  7.5e-152  1.1e-149  497.6   1.9   152   616     1   484     1   488 0.91 -
9524:2031-3488       -            486 515at4891            -            927  1.4e-142  474.0   4.9   1   1  1.2e-144  1.7e-142  473.7   4.9   152   616     1   483     1   486 0.90 -
9286:260-4795        -           1512 515at4891            -            927  2.4e-121  403.7   9.8   1   2   4.2e-72   5.9e-70  233.7   4.6   158   440   690   998   653  1004 0.89 -
9286:260-4795        -           1512 515at4891            -            927  2.4e-121  403.7   9.8   2   2   1.7e-51   2.5e-49  165.4   0.2   462   616  1242  1395  1236  1459 0.95 -
9218:4287-6836       -            850 515at4891            -            927  3.8e-117  389.8  10.4   1   2   5.1e-69   7.2e-67  223.4   4.4   121   443    64   423    47   429 0.81 -
9218:4287-6836       -            850 515at4891            -            927  3.8e-117  389.8  10.4   2   2   8.1e-53   1.1e-50  169.8   0.3   457   606   694   842   673   849 0.92 -
9388:8422-11754      -           1111 515at4891            -            927   4.3e-96  320.1  11.2   1   2   4.8e-61   6.7e-59  197.1   3.2   127   453   524   883   512   888 0.80 -
9388:8422-11754      -           1111 515at4891            -            927   4.3e-96  320.1  11.2   2   2   5.4e-40   7.6e-38  127.4   1.0   460   611   933  1084   918  1104 0.91 -
9608:672-6272        -           1867 515at4891            -            927   4.3e-85  283.8   2.8   1   2   1.3e-49   1.9e-47  159.2   0.1   148   440  1259  1581  1246  1620 0.81 -
9608:672-6272        -           1867 515at4891            -            927   4.3e-85  283.8   2.8   2   2   3.8e-39   5.3e-37  124.6   0.4   480   614  1646  1782  1633  1826 0.87 -
9668:13505-16684     -           1060 515at4891            -            927   8.9e-85  282.7  11.4   1   3       2.1     3e+02   -3.7   1.2   757   796    13    52     5   106 0.55 -
9668:13505-16684     -           1060 515at4891            -            927   8.9e-85  282.7  11.4   2   3   4.6e-19   6.5e-17   58.1   0.0   162   242   277   357   233   376 0.87 -
9668:13505-16684     -           1060 515at4891            -            927   8.9e-85  282.7  11.4   3   3   1.7e-71   2.4e-69  231.6   1.1   262   652   422   825   414   848 0.84 -
8468:228-2921        -            898 515at4891            -            927   5.7e-71  237.0   0.0   1   1   6.3e-73   8.9e-71  236.4   0.0   183   614   331   806   321   837 0.79 -
8868:6377-9133       -            919 515at4891            -            927   1.6e-66  222.3   0.1   1   1   2.5e-68   3.5e-66  221.2   0.1   183   608   308   774   298   797 0.81 -
9290:14028-15248     -            407 515at4891            -            927   1.1e-60  203.0   4.0   1   2   1.1e-05    0.0015   13.9   0.0   365   405     3    44     1    55 0.89 -
9290:14028-15248     -            407 515at4891            -            927   1.1e-60  203.0   4.0   2   2     8e-59   1.1e-56  189.7   1.4   420   645   118   339   100   369 0.86 -
7940:2-1333          -            444 515at4891            -            927   3.5e-60  201.3   3.6   1   1   2.5e-62   3.5e-60  201.3   3.6   150   377   191   442   160   444 0.85 -
