#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9636:3986-7117       -           1044 960at4891            -            889         0 1731.9  16.1   1   3   0.00035     0.037    9.0   0.1     2    55    10    76     9    98 0.71 -
9636:3986-7117       -           1044 960at4891            -            889         0 1731.9  16.1   2   3  1.7e-105  1.8e-103  344.3   9.0    40   261   107   347    78   351 0.91 -
9636:3986-7117       -           1044 960at4891            -            889         0 1731.9  16.1   3   3         0         0 1382.0   0.1   252   889   366  1042   353  1042 0.96 -
8276:239-3370        -           1044 960at4891            -            889         0 1712.3  19.6   1   3   9.4e-06     0.001   14.2   0.1     1    55     9    76     9    84 0.79 -
8276:239-3370        -           1044 960at4891            -            889         0 1712.3  19.6   2   3  7.4e-104  7.9e-102  338.8  11.2    40   261   107   347    75   356 0.92 -
8276:239-3370        -           1044 960at4891            -            889         0 1712.3  19.6   3   3         0         0 1363.0   0.1   252   889   366  1042   359  1042 0.97 -
9614:16867-20454     -           1196 960at4891            -            889  2.3e-207  688.0   3.5   1   2   1.2e-23   1.3e-21   73.4   0.7    53   236   262   458   241   469 0.84 -
9614:16867-20454     -           1196 960at4891            -            889  2.3e-207  688.0   3.5   2   2  3.9e-187  4.2e-185  614.4   0.1   267   830   534  1116   518  1170 0.87 -
8368:2744-4999       -            752 960at4891            -            889   2.1e-62  208.4   0.0   1   4   4.2e-09   4.5e-07   25.3   0.0   309   379   211   279   188   301 0.74 -
8368:2744-4999       -            752 960at4891            -            889   2.1e-62  208.4   0.0   2   4   2.2e-25   2.3e-23   79.2   0.0   379   480   347   448   325   465 0.90 -
8368:2744-4999       -            752 960at4891            -            889   2.1e-62  208.4   0.0   3   4   1.6e-12   1.7e-10   36.6   0.0   504   601   519   609   512   629 0.83 -
8368:2744-4999       -            752 960at4891            -            889   2.1e-62  208.4   0.0   4   4   3.2e-20   3.4e-18   62.1   0.0   716   821   621   725   613   730 0.90 -
9244:5710-7539       -            610 960at4891            -            889   3.1e-58  194.6   0.6   1   4   8.4e-10     9e-08   27.6   0.0   240   347    26   130     3   179 0.76 -
9244:5710-7539       -            610 960at4891            -            889   3.1e-58  194.6   0.6   2   4   5.6e-24     6e-22   74.5   0.1   383   486   210   313   190   340 0.92 -
9244:5710-7539       -            610 960at4891            -            889   3.1e-58  194.6   0.6   3   4   1.4e-15   1.5e-13   46.7   0.0   525   607   395   476   382   493 0.84 -
9244:5710-7539       -            610 960at4891            -            889   3.1e-58  194.6   0.6   4   4   7.3e-14   7.8e-12   41.1   0.0   743   821   512   590   499   599 0.93 -
9322:7193-15208      -           2672 960at4891            -            889   6.7e-21   71.1   7.3   1   3   1.1e-21   1.2e-19   66.9   0.2    44   217  1431  1610  1408  1672 0.85 -
9322:7193-15208      -           2672 960at4891            -            889   6.7e-21   71.1   7.3   2   3    0.0019      0.21    6.6   0.3    55   164  1861  1977  1841  2033 0.60 -
9322:7193-15208      -           2672 960at4891            -            889   6.7e-21   71.1   7.3   3   3      0.33        35   -0.8   0.1    30   107  2323  2407  2308  2418 0.77 -
8844:5039-6358       -            440 960at4891            -            889   7.1e-19   64.3   0.5   1   3     0.014       1.5    3.8   0.1   328   577     5    28     1    34 0.63 -
8844:5039-6358       -            440 960at4891            -            889   7.1e-19   64.3   0.5   2   3   1.1e-13   1.1e-11   40.5   0.0   386   580   106   306    94   319 0.84 -
8844:5039-6358       -            440 960at4891            -            889   7.1e-19   64.3   0.5   3   3   2.2e-06   0.00024   16.3   0.0   390   467   356   437   344   440 0.81 -
9502:3437-4294       -            286 960at4891            -            889   2.1e-15   52.9   0.1   1   2   3.9e-12   4.1e-10   35.4   0.0   523   583     6    66     2    69 0.94 -
9502:3437-4294       -            286 960at4891            -            889   2.1e-15   52.9   0.1   2   2   3.1e-06   0.00033   15.8   0.0   392   444   140   192    88   243 0.81 -
9412:11968-13440     -            491 960at4891            -            889   2.5e-13   46.0   0.0   1   2   1.3e-08   1.4e-06   23.6   0.0   519   584   247   313   213   329 0.84 -
9412:11968-13440     -            491 960at4891            -            889   2.5e-13   46.0   0.0   2   2   1.4e-07   1.5e-05   20.2   0.0   398   785   389   429   358   474 0.65 -
8662:4920-6668       -            583 960at4891            -            889     3e-11   39.1   0.0   1   2   1.5e-06   0.00016   16.8   0.0   513   570   340   397   275   420 0.78 -
8662:4920-6668       -            583 960at4891            -            889     3e-11   39.1   0.0   2   2   1.6e-07   1.7e-05   20.1   0.0   391   465   482   559   465   568 0.79 -
8980:2915-3556       -            214 960at4891            -            889   2.4e-09   32.8   0.0   1   2   5.5e-07   5.9e-05   18.3   0.0   540   583     3    46     1    52 0.94 -
