114	1131-495	0	2319	-1	16010at4891_7|7292|-|346|1.756e-97|1|637|1131|1131[1131]:637[637]:495[495]
116	1116-891	0	14851	-1	18807at4891_3|7420|-|118|7.576e-29|1|226|1116|1116[1116]:226[226]:891[891]
118	67+681	0	21459	1	18893at4891|7548|+|79|4.165e-17|1|67|747|67[67]:747[747]:681[681]
121	68+2070	0	14560	1	4428at4891_2|7740|+|945|8.465e-278|1|68|2137|68[68]:2137[2137]:2070[2070]
122	258+1305	0	22070	1	12549at4891_1|7804|+|775|1.267e-226|1|258|1562|258[258]:1562[1562]:1305[1305]
123	80+1098	0	11776	1	11780at4891_5|7868|+|406|1.523e-115|1|80|1177|80[80]:1177[1177]:1098[1098]
124	1941-789	0	13792	-1	39725at4891_2|7932|-|251|6.957e-69|1|1153|1941|1941[1941]:1153[1153]:789[789]
126	389+495	0	13716	1	35082at4891|8060|+|36|0.0003663|1|389|883|389[389]:883[883]:495[495]
126	2113+1587	0	21202	1	5966at4891_2|8060|+|889|6.099e-261|1|2113|3699|2113[2113]:3699[3699]:1587[1587]
127	2917+705	0	2021	1	38019at4891_2|8124|+|225|4.669e-61|1|2917|3621|2917[2917]:3621[3621]:705[705]
127	2318-801	0	15681	-1	24098at4891|8124|-|180|1.643e-47|1|1518|2318|2318[2318]:1518[1518]:801[801]
130	3423+1338	0	13269	1	12837at4891_4|8316|+|629|1.13e-182|1|3423|4760|3423[3423]:4760[4760]:1338[1338]
130	122+2820	0	18929	1	3959at4891|8316|+|683|6.273e-199|1|122|2941|122[122]:2941[2941]:2820[2820]
131	127+1494	0	343	1	27561at4891_2|8380|+|489|1.575e-140|1|127|1620|127[127]:1620[1620]:1494[1494]
131	1939+3237	0	5740	1	4175at4891_2|8380|+|1212|0|1|1939|5175|1939[1939]:5175[5175]:3237[3237]
132	3633+1008	0	2390	1	19777at4891_2|8444|+|419|1.859e-119|1|3633|4640|3633[3633]:4640[4640]:1008[1008]
133	4898+1170	0	3003	1	13347at4891_2|8508|+|647|4.311e-188|1|4898|6067|4898[4898]:6067[6067]:1170[1170]
133	2185-1281	0	8511	-1	31733at4891_2|8508|-|430|9.079e-123|1|905|2185|2185[2185]:905[905]:1281[1281]
134	880-690	0	3439	-1	35020at4891_7|8572|-|266|2.123e-73|1|191|880|880[880]:191[191]:690[690]
134	1441+513	0	4778	1	28920at4891_2|8572|+|337|8.992e-95|1|1441|1953|1441[1441]:1953[1953]:513[513]
